feature,importance
purpose_A46,1.0598565779177052
checking_status_A14,1.0162060353616116
credit_history_A34,0.8287323253624621
foreign_worker_A202,0.7043297347638815
employment_since_A74,0.6939961832415168
foreign_worker_A201,0.6730319330429787
purpose_A41,0.6499346182054246
purpose_A410,0.648554322515152
savings_status_A61,0.6333258074395554
savings_status_A64,0.6230441011704998
property_type_A124,0.6223924974015492
checking_status_A11,0.6003635550636193
employment_since_A71,0.5448438523872685
other_debtors_A103,0.4937746944778275
other_installment_plans_A141,0.47831495125727364
