feature,importance
addr_state_MN,1.4496958656960648
addr_state_HI,1.223516912947959
addr_state_DE,0.8844938702008726
purpose_vacation,0.850349684525248
addr_state_SC,0.8245340695988946
addr_state_AR,0.7727093678042601
addr_state_WV,0.7559755384488643
addr_state_SD,0.7493390386276739
addr_state_IN,0.748372590468911
addr_state_FL,0.7026430819735977
purpose_small_business,0.6835563190473865
addr_state_WY,0.6756262140354766
addr_state_NV,0.6469319698494311
purpose_renewable_energy,0.6415061890221346
addr_state_DC,0.617893897644758
