feature,importance
int_rate,0.028990723562151998
addr_state_NY,0.012118738404452567
dti,0.008949907235621436
addr_state_MN,0.00853061224489784
revol_util,0.008289424860853333
annual_inc,0.007617810760667832
addr_state_CA,0.0075139146567717585
addr_state_AL,0.005090909090908991
purpose_other,0.00495361781076058
addr_state_HI,0.004853432282003656
addr_state_AR,0.0037365491651205176
term_60 months,0.0034545454545453548
addr_state_PA,0.002567717996289298
purpose_car,0.0023747680890537247
addr_state_WV,0.0020482374768087787
